date,project,visits,wday
2017-01-01,fr.wikipedia.org,7394.0,6
2017-01-02,fr.wikipedia.org,7520.0,0
2017-01-03,fr.wikipedia.org,6791.0,1
2017-01-04,fr.wikipedia.org,8459.0,2
2017-01-05,fr.wikipedia.org,10661.0,3
2017-01-06,fr.wikipedia.org,22066.0,4
2017-01-07,fr.wikipedia.org,7795.0,5
2017-01-08,fr.wikipedia.org,8446.0,6
2017-01-09,fr.wikipedia.org,14037.0,0
2017-01-10,fr.wikipedia.org,7355.0,1
2017-01-11,fr.wikipedia.org,6678.0,2
2017-01-12,fr.wikipedia.org,9112.0,3
2017-01-13,fr.wikipedia.org,8918.0,4
2017-01-14,fr.wikipedia.org,8452.0,5
2017-01-15,fr.wikipedia.org,10593.0,6
2017-01-16,fr.wikipedia.org,9673.0,0
2017-01-17,fr.wikipedia.org,8253.0,1
2017-01-18,fr.wikipedia.org,7643.0,2
2017-01-19,fr.wikipedia.org,9608.0,3
2017-01-20,fr.wikipedia.org,6531.0,4
2017-01-21,fr.wikipedia.org,7184.0,5
2017-01-22,fr.wikipedia.org,9270.0,6
2017-01-23,fr.wikipedia.org,6812.0,0
2017-01-24,fr.wikipedia.org,7427.0,1
2017-01-25,fr.wikipedia.org,8271.0,2
2017-01-26,fr.wikipedia.org,8269.0,3
2017-01-27,fr.wikipedia.org,7042.0,4
2017-01-28,fr.wikipedia.org,7079.0,5
2017-01-29,fr.wikipedia.org,9028.0,6
2017-01-30,fr.wikipedia.org,6558.0,0
2017-01-31,fr.wikipedia.org,7336.0,1
2017-02-01,fr.wikipedia.org,9551.0,2
2017-02-02,fr.wikipedia.org,8991.0,3
2017-02-03,fr.wikipedia.org,6030.0,4
2017-02-04,fr.wikipedia.org,6629.0,5
2017-02-05,fr.wikipedia.org,14038.0,6
2017-02-06,fr.wikipedia.org,8101.0,0
2017-02-07,fr.wikipedia.org,6694.0,1
2017-02-08,fr.wikipedia.org,7184.0,2
2017-02-09,fr.wikipedia.org,13612.0,3
2017-02-10,fr.wikipedia.org,6281.0,4
2017-02-11,fr.wikipedia.org,10011.0,5
2017-02-12,fr.wikipedia.org,11074.0,6
2017-02-13,fr.wikipedia.org,7850.0,0
2017-02-14,fr.wikipedia.org,9685.0,1
2017-02-15,fr.wikipedia.org,33559.0,2
2017-02-16,fr.wikipedia.org,64253.0,3
2017-02-17,fr.wikipedia.org,24310.0,4
2017-02-18,fr.wikipedia.org,46162.0,5
2017-02-19,fr.wikipedia.org,17262.0,6
2017-02-20,fr.wikipedia.org,9033.0,0
2017-02-21,fr.wikipedia.org,7501.0,1
2017-02-22,fr.wikipedia.org,8175.0,2
2017-02-23,fr.wikipedia.org,14673.0,3
2017-02-24,fr.wikipedia.org,14134.0,4
2017-02-25,fr.wikipedia.org,7219.0,5
2017-02-26,fr.wikipedia.org,7890.0,6
2017-02-27,fr.wikipedia.org,6898.0,0
2017-02-28,fr.wikipedia.org,8025.0,1
2017-03-01,fr.wikipedia.org,9947.0,2
2017-03-02,fr.wikipedia.org,12954.0,3
2017-03-03,fr.wikipedia.org,18198.0,4
2017-03-04,fr.wikipedia.org,15825.0,5
2017-03-05,fr.wikipedia.org,15329.0,6
2017-03-06,fr.wikipedia.org,10005.0,0
2017-03-07,fr.wikipedia.org,9150.0,1
2017-03-08,fr.wikipedia.org,16920.0,2
2017-03-09,fr.wikipedia.org,16836.0,3
2017-03-10,fr.wikipedia.org,17117.0,4
2017-03-11,fr.wikipedia.org,11540.0,5
2017-03-12,fr.wikipedia.org,20673.0,6
2017-03-13,fr.wikipedia.org,20263.0,0
2017-03-14,fr.wikipedia.org,19489.0,1
2017-03-15,fr.wikipedia.org,15076.0,2
2017-03-16,fr.wikipedia.org,11637.0,3
2017-03-17,fr.wikipedia.org,16522.0,4
2017-03-18,fr.wikipedia.org,20321.0,5
2017-03-19,fr.wikipedia.org,16146.0,6
2017-03-20,fr.wikipedia.org,16844.0,0
2017-03-21,fr.wikipedia.org,14897.0,1
2017-03-22,fr.wikipedia.org,11983.0,2
2017-03-23,fr.wikipedia.org,9589.0,3
2017-03-24,fr.wikipedia.org,7913.0,4
2017-03-25,fr.wikipedia.org,8237.0,5
2017-03-26,fr.wikipedia.org,7999.0,6
2017-03-27,fr.wikipedia.org,11242.0,0
2017-03-28,fr.wikipedia.org,11682.0,1
2017-03-29,fr.wikipedia.org,8481.0,2
2017-03-30,fr.wikipedia.org,7885.0,3
2017-03-31,fr.wikipedia.org,8030.0,4
2017-04-01,fr.wikipedia.org,8123.0,5
2017-04-02,fr.wikipedia.org,9858.0,6
2017-04-03,fr.wikipedia.org,6874.0,0
2017-04-04,fr.wikipedia.org,9399.0,1
2017-04-05,fr.wikipedia.org,6592.0,2
2017-04-06,fr.wikipedia.org,11544.0,3
2017-04-07,fr.wikipedia.org,7956.0,4
2017-04-08,fr.wikipedia.org,6508.0,5
2017-04-09,fr.wikipedia.org,7130.0,6
2017-04-10,fr.wikipedia.org,9655.0,0
2017-04-11,fr.wikipedia.org,7883.0,1
2017-04-12,fr.wikipedia.org,6052.0,2
2017-04-13,fr.wikipedia.org,6145.0,3
2017-04-14,fr.wikipedia.org,7282.0,4
2017-04-15,fr.wikipedia.org,11995.0,5
2017-04-16,fr.wikipedia.org,11116.0,6
2017-04-17,fr.wikipedia.org,7314.0,0
2017-04-18,fr.wikipedia.org,7140.0,1
2017-04-19,fr.wikipedia.org,11667.0,2
2017-04-20,fr.wikipedia.org,7295.0,3
2017-04-21,fr.wikipedia.org,7928.0,4
2017-04-22,fr.wikipedia.org,6280.0,5
2017-04-23,fr.wikipedia.org,7791.0,6
2017-04-24,fr.wikipedia.org,7613.0,0
